Ensembl Gene ID,average_dN/dS
ENSG00000000003,0.349515598
ENSG00000000005,0.194665487
ENSG00000000419,0.328502415
ENSG00000000457,0.618376001
ENSG00000000460,0.333888133
ENSG00000000938,0.142585321
ENSG00000000971,0.548081364
ENSG00000001036,0.459801416
ENSG00000001084,0.153750838
ENSG00000001460,0.28657505
ENSG00000001461,0.104144267
ENSG00000001497,0.414009838
ENSG00000001561,0.329002742
ENSG00000001617,0.177279906
ENSG00000001626,0.214878906
ENSG00000001629,0.093327063
ENSG00000001630,0.616733466
ENSG00000001631,0.052441234
ENSG00000002016,0.416459715
ENSG00000002330,0.253585358
ENSG00000002549,0.087224128
ENSG00000002586,0.564853492
ENSG00000002587,0.048729099
ENSG00000002726,0.159438027
ENSG00000002745,0.148303385
ENSG00000002746,0.146552525
ENSG00000002822,0.097334957
ENSG00000002834,0.107500811
ENSG00000002919,0.670036565
ENSG00000002933,0.385218415
ENSG00000003056,0.070736557
ENSG00000003137,0.071157111
ENSG00000003147,0.193380616
ENSG00000003249,0.955401956
ENSG00000003393,0.216156192
ENSG00000003400,1.006647529
ENSG00000003402,0.548124242
ENSG00000003436,0.379855234
ENSG00000003509,0.418288775
ENSG00000003756,0.037772104
ENSG00000003987,0.215715398
ENSG00000003989,0.334590306
ENSG00000004139,0.070770135
ENSG00000004399,0.097853219
ENSG00000004455,0.163185529
ENSG00000004468,0.812568334
ENSG00000004478,0.200295722
ENSG00000004487,0.071444635
ENSG00000004534,0.580106287
ENSG00000004660,0.141915107
ENSG00000004700,0.075477267
ENSG00000004766,0.125843866
ENSG00000004776,0.149547538
ENSG00000004777,0.146652183
ENSG00000004779,0.281453885
ENSG00000004799,0.119108697
ENSG00000004809,0.333108526
ENSG00000004838,0.218470859
ENSG00000004846,0.347842064
ENSG00000004848,0.025203252
ENSG00000004864,0.078896734
ENSG00000004866,0.045212766
ENSG00000004897,0.19199792
ENSG00000004939,0.315171816
ENSG00000004948,0.335894058
ENSG00000004961,0.16670458
ENSG00000004975,0.063644543
ENSG00000005001,0.332026729
ENSG00000005020,0.260469735
ENSG00000005022,0.082194742
ENSG00000005059,0.610735881
ENSG00000005073,0.0401077
ENSG00000005100,0.17395414
ENSG00000005102,0.291318449
ENSG00000005108,0.22769932
ENSG00000005156,0.332438879
ENSG00000005175,0.294654833
ENSG00000005187,0.469626451
ENSG00000005189,0.386894657
ENSG00000005194,0.15420159
ENSG00000005238,0.377594879
ENSG00000005243,1.375968992
ENSG00000005249,0.480185609
ENSG00000005302,0.113801957
ENSG00000005379,0.382714813
ENSG00000005381,0.143700467
ENSG00000005421,0.346003401
ENSG00000005436,0.378888715
ENSG00000005448,0.345159547
ENSG00000005469,0.260187149
ENSG00000005471,0.349385035
ENSG00000005483,0.171630094
ENSG00000005486,0.074074074
ENSG00000005513,0.03785054
ENSG00000005700,0.334235559
ENSG00000005801,0.494475153
ENSG00000005810,0.168958499
ENSG00000005812,0.0983218
ENSG00000005844,0.344742277
ENSG00000005882,0.068965517
ENSG00000005884,0.176926989
ENSG00000005893,0.326781327
ENSG00000005961,0.193694227
ENSG00000005981,0.136269245
ENSG00000006007,0.089268537
ENSG00000006015,0.199352281
ENSG00000006016,0.030698385
ENSG00000006025,0.120112608
ENSG00000006042,0.044181212
ENSG00000006047,0.568589345
ENSG00000006059,0.072391234
ENSG00000006071,0.083120654
ENSG00000006116,0.345794393
ENSG00000006118,0.230145501
ENSG00000006125,0.206053827
ENSG00000006128,0.185919344
ENSG00000006194,0.316941746
ENSG00000006210,0.426849382
ENSG00000006282,0.198195837
ENSG00000006283,0.170605321
ENSG00000006327,0.084596936
ENSG00000006377,0.501831122
ENSG00000006432,0.190259934
ENSG00000006453,0.161041487
ENSG00000006459,0.282422293
ENSG00000006468,0.042918455
ENSG00000006530,0.287183892
ENSG00000006555,0.079558514
ENSG00000006576,0.187038939
ENSG00000006606,0.793602474
ENSG00000006607,0.565470802
ENSG00000006611,0.331591548
ENSG00000006634,0.416396182
ENSG00000006638,0.147622665
ENSG00000006652,0.253027425
ENSG00000006695,0.295136289
ENSG00000006704,0.046806628
ENSG00000006712,0.085799009
ENSG00000006715,0.043681218
ENSG00000006740,0.178265821
ENSG00000006744,0.519880873
ENSG00000006747,0.158368984
ENSG00000006756,0.44768911
ENSG00000006757,0.264196874
ENSG00000006831,0.262650013
ENSG00000006837,0.630055783
ENSG00000007001,0.330693721
ENSG00000007038,0.491759933
ENSG00000007047,0.135500053
ENSG00000007062,0.310286675
ENSG00000007080,0.097160675
ENSG00000007168,0.250187242
ENSG00000007171,0.136635262
ENSG00000007174,0.376068376
ENSG00000007202,0.220101529
ENSG00000007216,0.240694331
ENSG00000007237,0.108126423
ENSG00000007255,0.084019105
ENSG00000007264,0.098937198
ENSG00000007306,0.819699501
ENSG00000007312,0.433204644
ENSG00000007314,0.054674656
ENSG00000007341,0.603564766
ENSG00000007350,0.836685451
ENSG00000007372,0.18137899
ENSG00000007376,0.100089242
ENSG00000007384,0.029558432
ENSG00000007392,0.398082745
ENSG00000007402,0.132202026
ENSG00000007516,0.241275424
ENSG00000007520,0.224804115
ENSG00000007541,0.397047656
ENSG00000007545,0.279163786
ENSG00000007866,0.171641791
ENSG00000007908,0.397336737
ENSG00000007923,0.104128616
ENSG00000007933,0.276944868
ENSG00000007944,0.11032057
ENSG00000007952,1.049810183
