GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	688532	789137	52	2	247556	-0.95638	0.83056	AL669831.1
ENSG00000269308	1	768043	869983	64	6	239447	-0.45753	0.67635	AL645608.2
ENSG00000187634	1	810260	929955	35	19	231409	0.63189	0.26373	SAMD11
ENSG00000268179	1	811264	916445	28	18	227649	0.060843	0.47574	AL645608.1
ENSG00000188976	1	829584	944689	48	13	242768	2.503	0.0061573	NOC2L
ENSG00000187961	1	845967	951095	54	12	245539	2.4604	0.0069389	KLHL17
ENSG00000187583	1	851877	961245	79	10	255041	2.428	0.0075921	PLEKHN1
ENSG00000187642	1	860579	967497	85	9	256060	2.3749	0.008777	C1orf170
ENSG00000188290	1	884342	985552	109	13	259309	2.4341	0.0074643	HES4
ENSG00000187608	1	898803	999920	131	15	260289	2.389	0.0084481	ISG15
ENSG00000188157	1	905503	1041496	229	24	283543	2.2883	0.011061	AGRN
ENSG00000237330	1	956346	1059687	254	22	297711	1.7683	0.038508	RNF223
ENSG00000131591	1	967198	1101741	311	25	298231	1.4933	0.067674	C1orf159
ENSG00000162571	1	1059264	1183315	444	37	304307	-1.1036	0.86511	TTLL10
ENSG00000186891	1	1088888	1192071	421	28	305715	-1.6432	0.94982	TNFRSF18
ENSG00000186827	1	1096706	1199518	436	28	306446	-1.5702	0.94182	TNFRSF4
ENSG00000078808	1	1102288	1217411	493	31	306855	-1.4112	0.9209	SDF4
ENSG00000176022	1	1117629	1220421	453	26	310808	-1.4606	0.92794	B3GALT6
ENSG00000184163	1	1127826	1232102	426	28	306762	-1.3486	0.91127	FAM132A
ENSG00000160087	1	1139289	1259265	426	29	301819	-1.114	0.86737	UBE2J2
ENSG00000162572	1	1165816	1277409	337	28	288137	-0.71401	0.76239	SCNN1D
ENSG00000131584	1	1177756	1294989	334	26	283112	-0.5875	0.72157	ACAP3
ENSG00000169972	1	1193947	1297057	286	22	278750	-0.47109	0.68121	PUSL1
ENSG00000127054	1	1196965	1310071	361	24	276132	-0.32775	0.62845	CPSF3L
ENSG00000224051	1	1210136	1314277	353	24	274752	-0.15431	0.56132	GLTPD1
