Human Gene ID,Mouse Gene ID
ENSG00000091583,ENSMUSG00000000049
ENSG00000121075,ENSMUSG00000000094
ENSG00000168646,ENSMUSG00000000142
ENSG00000110628,ENSMUSG00000000154
ENSG00000118972,ENSMUSG00000000182
ENSG00000039068,ENSMUSG00000000303
ENSG00000137992,ENSMUSG00000000340
ENSG00000136280,ENSMUSG00000000378
ENSG00000125398,ENSMUSG00000000567
ENSG00000001631,ENSMUSG00000000600
ENSG00000108255,ENSMUSG00000000724
ENSG00000160224,ENSMUSG00000000731
ENSG00000102081,ENSMUSG00000000838
ENSG00000099956,ENSMUSG00000000902
ENSG00000155465,ENSMUSG00000000958
ENSG00000142156,ENSMUSG00000001119
ENSG00000126759,ENSMUSG00000001128
ENSG00000122126,ENSMUSG00000001173
ENSG00000091138,ENSMUSG00000001225
ENSG00000182871,ENSMUSG00000001435
ENSG00000167941,ENSMUSG00000001494
ENSG00000108821,ENSMUSG00000001506
ENSG00000108823,ENSMUSG00000001508
ENSG00000064195,ENSMUSG00000001510
ENSG00000130675,ENSMUSG00000001566
ENSG00000108784,ENSMUSG00000001751
ENSG00000128602,ENSMUSG00000001761
ENSG00000128714,ENSMUSG00000001819
ENSG00000110799,ENSMUSG00000001930
ENSG00000102119,ENSMUSG00000001964
ENSG00000160654,ENSMUSG00000002033
ENSG00000109101,ENSMUSG00000002057
ENSG00000134571,ENSMUSG00000002100
ENSG00000134574,ENSMUSG00000002109
ENSG00000103197,ENSMUSG00000002496
ENSG00000105329,ENSMUSG00000002603
ENSG00000164690,ENSMUSG00000002633
ENSG00000124587,ENSMUSG00000002763
ENSG00000124713,ENSMUSG00000002769
ENSG00000091136,ENSMUSG00000002900
ENSG00000135218,ENSMUSG00000002944
ENSG00000130203,ENSMUSG00000002985
ENSG00000118046,ENSMUSG00000003068
ENSG00000135960,ENSMUSG00000003227
ENSG00000145191,ENSMUSG00000003235
ENSG00000130175,ENSMUSG00000003402
ENSG00000010704,ENSMUSG00000003420
ENSG00000090932,ENSMUSG00000003436
ENSG00000162735,ENSMUSG00000003464
ENSG00000106348,ENSMUSG00000003500
ENSG00000047457,ENSMUSG00000003617
ENSG00000105607,ENSMUSG00000003809
ENSG00000073009,ENSMUSG00000004221
ENSG00000075891,ENSMUSG00000004231
ENSG00000111676,ENSMUSG00000004263
ENSG00000171365,ENSMUSG00000004317
ENSG00000090674,ENSMUSG00000004567
ENSG00000105379,ENSMUSG00000004610
ENSG00000105370,ENSMUSG00000004613
ENSG00000127990,ENSMUSG00000004631
ENSG00000077498,ENSMUSG00000004651
ENSG00000106128,ENSMUSG00000004654
ENSG00000119718,ENSMUSG00000004788
ENSG00000064835,ENSMUSG00000004842
ENSG00000135903,ENSMUSG00000004872
ENSG00000143815,ENSMUSG00000004880
ENSG00000160213,ENSMUSG00000005054
ENSG00000139197,ENSMUSG00000005069
ENSG00000104419,ENSMUSG00000005125
ENSG00000100292,ENSMUSG00000005413
ENSG00000127948,ENSMUSG00000005514
ENSG00000171105,ENSMUSG00000005534
ENSG00000157404,ENSMUSG00000005672
ENSG00000158874,ENSMUSG00000005681
ENSG00000133805,ENSMUSG00000005686
ENSG00000183918,ENSMUSG00000005696
ENSG00000143390,ENSMUSG00000005774
ENSG00000134982,ENSMUSG00000005871
ENSG00000170893,ENSMUSG00000005892
ENSG00000127980,ENSMUSG00000005907
ENSG00000040531,ENSMUSG00000005949
ENSG00000107165,ENSMUSG00000005994
ENSG00000116690,ENSMUSG00000006014
ENSG00000187266,ENSMUSG00000006235
ENSG00000116039,ENSMUSG00000006269
ENSG00000120156,ENSMUSG00000006386
ENSG00000117400,ENSMUSG00000006389
ENSG00000051523,ENSMUSG00000006519
ENSG00000163501,ENSMUSG00000006538
ENSG00000123191,ENSMUSG00000006567
ENSG00000004939,ENSMUSG00000006574
